counter,    accel.x,    accel.y,    accel.z,    gyro_unscaled.p,    gyro_unscaled.q,    gyro_unscaled.r,    rot->phi,    rot->theta,    rot->psi,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3]
14503,-3702,-766,-3693,-131,-462,-105,-0.001526,-0.000427,-1.401855,-3.457031,1.339844,-0.968750,5100,0,184,-2176,8827,6834,8779,6681
14504,1933,26,-10029,74,-83,-22,-0.001343,-0.000610,-1.401986,-3.457031,1.339844,-0.968750,5100,-62,60,-2172,8836,6829,8783,6702
14505,5468,222,-14528,-67,655,61,-0.001343,-0.000061,-1.401986,-3.457031,1.339844,-0.968750,5100,-22,-207,-2175,8819,6820,8770,6696
14506,-723,58,-7394,-271,795,41,-0.001587,0.000854,-1.401986,-3.457031,1.339844,-0.968750,5100,42,-291,-2176,8809,6815,8801,6717
14507,-6329,417,-5753,-219,-646,-42,-0.001709,0.000305,-1.401986,-3.457031,1.339844,-0.968750,5100,33,214,-2170,8809,6806,8808,6731
14508,191,307,-14617,-38,-799,-51,-0.001709,-0.000610,-1.402046,-3.457031,1.339844,-0.968750,5100,-18,301,-2162,8819,6805,8812,6736
14509,7985,-324,-13445,-179,320,36,-0.001831,-0.000366,-1.402046,-3.457031,1.339844,-0.968750,5100,26,-71,-2162,8823,6808,8811,6725
14510,-533,392,-5741,-419,300,106,-0.002259,0.000183,-1.401795,-3.468750,1.328125,-0.976562,5100,108,-68,-2169,8795,6793,8806,6743
14511,-5786,-329,-9732,-204,-307,73,-0.002305,-0.000108,-1.401618,-3.468750,1.328125,-0.976562,5100,51,143,-2175,8798,6764,8805,6765
14512,-3193,-722,-13950,-43,-631,-20,-0.002381,-0.000793,-1.401664,-3.468750,1.328125,-0.976562,5100,4,279,-2172,8839,6774,8804,6748
14513,2364,-1405,-9031,105,-167,-68,-0.002136,-0.001038,-1.401795,-3.468750,1.328125,-0.976562,5100,-47,137,-2163,8831,6789,8770,6754
14514,3596,780,-4979,-14,250,90,-0.002075,-0.000732,-1.401795,-3.468750,1.328125,-0.976562,5100,-20,-7,-2170,8854,6791,8782,6771
14515,-821,1149,-11654,-127,558,134,-0.002136,-0.000061,-1.401664,-3.468750,1.328125,-0.976562,5100,10,-141,-2182,8834,6792,8766,6753
14516,-2179,-1305,-12004,-117,43,-17,-0.002197,-0.000061,-1.401664,-3.468750,1.328125,-0.976562,5100,7,20,-2179,8831,6797,8770,6761
14517,-2863,-878,-5591,139,-371,-77,-0.002014,-0.000366,-1.401675,-3.468750,1.328125,-0.976562,5100,-75,168,-2171,8861,6797,8752,6748
14518,2327,915,-10344,-45,-195,41,-0.001892,-0.000610,-1.401675,-3.468750,1.328125,-0.976562,5100,-24,119,-2173,8877,6800,8769,6752
14519,2506,858,-15212,-200,538,82,-0.002075,-0.000000,-1.401664,-3.468750,1.328125,-0.976562,5100,23,-146,-2180,8861,6799,8765,6734
14520,-691,-336,-9473,-291,110,-17,-0.002258,0.000183,-1.401664,-3.468750,1.328125,-0.976562,5100,58,-8,-2177,8847,6797,8781,6753
14521,-5267,-312,-4576,-149,-1118,-63,-0.002442,-0.000977,-1.401795,-3.468750,1.328125,-0.976562,5100,23,447,-2169,8848,6795,8773,6742
14522,1210,-129,-14011,77,-489,-59,-0.002258,-0.001526,-1.401795,-3.468750,1.328125,-0.976562,5100,-46,261,-2160,8841,6799,8772,6747
14523,7892,-263,-14530,-121,528,51,-0.002319,-0.001038,-1.401795,-3.468750,1.328125,-0.976562,5100,12,-91,-2162,8860,6802,8761,6730
14524,-506,488,-4861,-309,347,77,-0.002564,-0.000488,-1.401795,-3.468750,1.328125,-0.976562,5100,74,-49,-2166,8837,6796,8783,6727
14525,-6246,-339,-8485,-75,-479,6,-0.002625,-0.000854,-1.401795,-3.468750,1.328125,-0.976562,5100,6,234,-2164,8831,6768,8757,6741
14526,1121,-697,-11891,109,-498,-106,-0.002380,-0.001526,-1.401855,-3.468750,1.328125,-0.976562,5100,-51,258,-2151,8861,6807,8736,6721
14527,5156,143,-9393,41,209,-26,-0.002319,-0.001343,-1.401664,-3.468750,1.347656,-0.976562,5100,-38,15,-2145,8848,6811,8723,6719
14528,-814,1527,-7759,-170,416,131,-0.002363,-0.000796,-1.401539,-3.468750,1.347656,-0.976562,5100,23,-73,-2155,8863,6804,8739,6714
14529,-2787,-4,-14509,-226,286,122,-0.002625,-0.000427,-1.401484,-3.468750,1.347656,-0.976562,5100,45,-52,-2165,8857,6806,8731,6724
14530,-2656,-1146,-9974,-10,-135,-15,-0.002564,-0.000549,-1.401484,-3.468750,1.347656,-0.976562,5100,-17,85,-2163,8855,6807,8720,6702
14531,1845,-12,-5847,126,-195,26,-0.002381,-0.000793,-1.401484,-3.468750,1.347656,-0.976562,5100,-62,111,-2164,8863,6810,8747,6694
14532,1562,910,-11811,-5,150,176,-0.002197,-0.000610,-1.401303,-3.468750,1.347656,-0.976562,5100,-29,-8,-2182,8850,6806,8737,6714
14533,1136,-414,-14245,-8,596,129,-0.002197,-0.000000,-1.401243,-3.468750,1.347656,-0.976562,5100,-32,-183,-2196,8831,6806,8763,6722
14534,-3820,-868,-2100,6,-346,-17,-0.002136,-0.000244,-1.401243,-3.468750,1.347656,-0.976562,5100,-38,144,-2196,8821,6804,8760,6716
14535,-4661,-448,-3563,188,-953,-63,-0.001831,-0.001282,-1.401293,-3.468750,1.347656,-0.976562,5100,-100,388,-2192,8839,6800,8752,6730
14536,2664,427,-14388,269,-257,2,-0.001587,-0.001648,-1.401283,-3.468750,1.347656,-0.976562,5100,-136,175,-2192,8852,6808,8762,6728
14537,7087,58,-15589,-41,688,69,-0.001526,-0.000854,-1.401293,-3.468750,1.347656,-0.976562,5100,-48,-162,-2199,8828,6805,8780,6716
14538,-1377,802,-4564,-292,199,3,-0.001709,-0.000427,-1.401293,-3.468750,1.347656,-0.976562,5100,34,-12,-2199,8812,6804,8768,6703
14539,-5906,-75,-6461,-129,-809,-92,-0.001770,-0.001099,-1.401413,-3.468750,1.347656,-0.976562,5100,-5,349,-2190,8841,6833,8790,6708
14540,1660,-485,-14605,-7,-202,-155,-0.001709,-0.001465,-1.401594,-3.468750,1.347656,-0.976562,5100,-36,154,-2172,8837,6833,8770,6695
14541,5884,24,-10704,-190,497,-5,-0.001892,-0.000977,-1.401604,-3.468750,1.347656,-0.976562,5100,24,-94,-2167,8857,6829,8784,6685
14542,-2425,1146,-6057,-273,268,98,-0.002075,-0.000488,-1.401604,-3.468750,1.347656,-0.976562,5100,58,-34,-2173,8841,6823,8766,6705
14543,-3759,-710,-13119,-102,-235,1,-0.002136,-0.000732,-1.401604,-3.468750,1.347656,-0.976562,5100,13,134,-2169,8844,6814,8781,6696
14544,-1097,-1610,-11378,196,-214,-108,-0.001831,-0.001038,-1.401424,-3.468750,1.359375,-0.976562,5100,-80,133,-2156,8856,6836,8767,6685
14545,2866,358,-6394,202,20,67,-0.001518,-0.001041,-1.401380,-3.468750,1.359375,-0.976562,5100,-93,58,-2159,8864,6834,8774,6678
14546,506,1359,-10866,19,257,198,-0.001465,-0.000732,-1.401233,-3.468750,1.359375,-0.976562,5100,-46,-32,-2176,8847,6817,8780,6701
14547,238,-431,-14910,-29,557,114,-0.001404,-0.000122,-1.401113,-3.468750,1.359375,-0.976562,5100,-35,-162,-2187,8833,6814,8770,6689
14548,-3387,-739,-3396,-19,-260,-29,-0.001404,-0.000244,-1.401113,-3.468750,1.359375,-0.976562,5100,-38,118,-2185,8824,6838,8789,6706
14549,-647,-61,-7522,133,-584,5,-0.001160,-0.000916,-1.401102,-3.468750,1.359375,-0.976562,5100,-88,250,-2186,8850,6827,8769,6698
14550,5286,402,-15959,26,197,121,-0.001099,-0.000793,-1.401063,-3.468750,1.359375,-0.976562,5100,-59,-12,-2199,8834,6821,8775,6683
14551,2332,-65,-9935,-146,808,76,-0.001221,0.000183,-1.401052,-3.468750,1.359375,-0.976562,5100,-5,-248,-2208,8825,6818,8794,6708
14552,-4248,-185,-3309,-197,-127,-1,-0.001221,0.000183,-1.401052,-3.468750,1.359375,-0.976562,5100,17,64,-2210,8819,6811,8800,6718
14553,-2386,-375,-13240,-10,-783,-96,-0.001221,-0.000671,-1.401063,-3.468750,1.359375,-0.976562,5100,-34,313,-2202,8828,6806,8791,6709
14554,5946,-102,-15645,21,172,-91,-0.001160,-0.000549,-1.401233,-3.468750,1.359375,-0.976562,5100,-43,-6,-2192,8807,6808,8801,6696
14555,1628,880,-5199,-305,422,36,-0.001404,-0.000000,-1.401233,-3.468750,1.359375,-0.976562,5100,61,-100,-2194,8807,6800,8800,6715
14556,-3166,1154,-5526,-322,18,50,-0.001648,0.000061,-1.401233,-3.468750,1.359375,-0.976562,5100,77,29,-2197,8810,6793,8780,6704
14557,-3517,-746,-12009,-135,-511,-75,-0.001770,-0.000427,-1.401243,-3.468750,1.359375,-0.976562,5100,29,225,-2188,8821,6795,8794,6720
14558,238,-1244,-11250,60,-198,-168,-0.001648,-0.000671,-1.401424,-3.468750,1.359375,-0.976562,5100,-29,132,-2169,8834,6769,8768,6699
14559,3385,675,-6626,-43,62,20,-0.001587,-0.000610,-1.401424,-3.468750,1.359375,-0.976562,5100,-2,49,-2167,8825,6780,8773,6714
14560,-496,1283,-10781,-185,322,149,-0.001709,-0.000244,-1.401424,-3.468750,1.359375,-0.976562,5100,40,-52,-2177,8817,6781,8780,6712
14561,-41,-1159,-15292,-163,355,42,-0.001892,0.000183,-1.401424,-3.468750,1.367188,-0.976562,5100,37,-84,-2179,8820,6782,8778,6711
14562,-2902,-1281,-4358,90,-184,-85,-0.001602,0.000006,-1.401296,-3.468750,1.367188,-0.976562,5100,-42,98,-2169,8847,6784,8766,6706
14563,68,234,-6292,196,-205,62,-0.001404,-0.000244,-1.401303,-3.468750,1.367188,-0.976562,5100,-84,111,-2173,8839,6763,8769,6722
14564,3606,680,-16895,24,465,170,-0.001282,0.000244,-1.401233,-3.468750,1.367188,-0.976562,5100,-41,-129,-2189,8831,6777,8758,6712
14565,519,-29,-11625,-52,577,62,-0.001221,0.000916,-1.401113,-3.468750,1.367188,-0.976562,5100,-22,-192,-2196,8821,6781,8776,6727
14566,-4243,-51,-824,-107,-680,-34,-0.001282,0.000305,-1.401113,-3.468750,1.367188,-0.976562,5100,-4,254,-2194,8814,6782,8772,6736
14567,-1896,124,-12234,17,-856,-46,-0.001282,-0.000610,-1.401123,-3.468750,1.367188,-0.976562,5100,-42,351,-2190,8854,6785,8782,6723
14568,7003,251,-16974,2,171,-7,-0.001160,-0.000549,-1.401233,-3.468750,1.367188,-0.976562,5100,-39,13,-2189,8831,6790,8794,6735
14569,2209,553,-4982,-298,525,45,-0.001404,0.000183,-1.401233,-3.468750,1.367188,-0.976562,5100,57,-122,-2193,8824,6794,8800,6734
14570,-5178,-702,-5209,-217,-229,4,-0.001526,0.000061,-1.401233,-3.468750,1.367188,-0.976562,5100,41,133,-2193,8817,6779,8792,6722
14571,-1404,-1163,-13706,53,-695,-152,-0.001404,-0.000671,-1.401424,-3.468750,1.367188,-0.976562,5100,-37,313,-2176,8824,6785,8789,6733
14572,3567,-158,-10022,117,-71,-158,-0.001282,-0.000793,-1.401604,-3.468750,1.367188,-0.976562,5100,-62,111,-2158,8848,6818,8768,6703
14573,1104,1608,-4530,-156,-18,61,-0.001343,-0.000732,-1.401604,-3.468750,1.367188,-0.976562,5100,18,98,-2159,8840,6810,8775,6716
14574,-1904,639,-14436,-188,126,122,-0.001526,-0.000549,-1.401484,-3.468750,1.367188,-0.976562,5100,30,39,-2167,8859,6809,8767,6712
14575,-893,-1398,-12580,-128,-11,-22,-0.001526,-0.000549,-1.401484,-3.468750,1.367188,-0.976562,5100,17,79,-2162,8857,6812,8744,6710
14576,-833,-605,-4600,149,-169,-42,-0.001404,-0.000732,-1.401484,-3.468750,1.367188,-0.976562,5100,-69,133,-2156,8867,6815,8756,6701
14577,2105,666,-11390,97,3,168,-0.001160,-0.000732,-1.401474,-3.468750,1.367188,-0.976562,5100,-60,72,-2170,8866,6814,8739,6693
14578,2123,775,-15826,31,539,222,-0.001038,-0.000183,-1.401243,-3.468750,1.367188,-0.976562,5100,-47,-133,-2192,8845,6813,8733,6680
14579,61,-707,-12002,18,599,79,-0.000977,0.000549,-1.401233,-3.468750,1.367188,-0.976562,5100,-48,-187,-2202,8856,6832,8752,6702
14580,-4541,-627,-154,78,-563,-5,-0.000794,0.000061,-1.401233,-3.468750,1.367188,-0.976562,5100,-70,219,-2205,8846,6825,8745,6698
14581,-1116,143,-12384,205,-471,41,-0.000549,-0.000488,-1.401223,-3.468750,1.386719,-0.949219,5100,-117,206,-2212,8855,6825,8757,6709
14582,5995,117,-18633,34,437,75,-0.000427,-0.000061,-1.401113,-3.468750,1.386719,-0.949219,5100,-70,-106,-2222,8852,6820,8760,6694
14583,1139,473,-5446,-168,446,43,-0.000549,0.000488,-1.401052,-3.468750,1.386719,-0.949219,5100,-7,-126,-2229,8830,6835,8782,6709
14584,-4711,-429,-3101,-131,-610,-28,-0.000610,-0.000000,-1.401052,-3.468750,1.386719,-0.949219,5100,-11,247,-2229,8827,6826,8798,6701
14585,-632,-527,-15877,41,-545,-176,-0.000549,-0.000610,-1.401233,-3.468750,1.386719,-0.949219,5100,-60,249,-2213,8841,6826,8781,6695
14586,4839,-56,-12947,-98,133,-70,-0.000549,-0.000549,-1.401293,-3.468750,1.386719,-0.949219,5100,-16,26,-2205,8858,6822,8790,6682
14587,435,1249,-2750,-310,38,93,-0.000732,-0.000305,-1.401303,-3.468750,1.386719,-0.949219,5100,56,59,-2212,8840,6817,8815,6679
14588,-2174,-92,-11922,-203,-62,14,-0.000916,-0.000366,-1.401303,-3.468750,1.386719,-0.949219,5100,34,89,-2211,8835,6809,8814,6693
14589,-209,-1683,-13897,44,-90,-97,-0.000855,-0.000427,-1.401413,-3.468750,1.386719,-0.949219,5100,-37,99,-2200,8844,6808,8812,6685
14590,464,-153,-4660,179,-16,-48,-0.000610,-0.000427,-1.401413,-3.468750,1.386719,-0.949219,5100,-85,73,-2192,8851,6836,8783,6677
14591,814,1112,-7131,15,-3,175,-0.000549,-0.000488,-1.401403,-3.468750,1.386719,-0.949219,5100,-43,67,-2207,8851,6822,8798,6671
14592,738,180,-16433,-69,536,185,-0.000488,0.000122,-1.401233,-3.468750,1.386719,-0.949219,5100,-21,-140,-2224,8839,6817,8774,6694
14593,-1643,-1180,-7148,-68,259,42,-0.000488,0.000427,-1.401233,-3.468750,1.386719,-0.949219,5100,-20,-63,-2230,8835,6815,8792,6685
14594,-3139,-173,-5120,121,-412,71,-0.000244,0.000061,-1.401113,-3.468750,1.386719,-0.949219,5100,-81,172,-2239,8851,6810,8795,6681
14595,2743,190,-17199,103,-115,130,-0.000122,-0.000122,-1.401042,-3.468750,1.386719,-0.949219,5100,-82,79,-2254,8840,6807,8806,6678
14596,2504,124,-13075,-78,490,84,-0.000096,0.000398,-1.400579,-3.468750,1.386719,-0.976562,5100,-29,-138,-2267,8832,6808,8818,6669
14597,-2359,385,-1107,-254,16,-23,-0.000244,0.000488,-1.400611,-3.468750,1.386719,-0.976562,5100,28,19,-2269,8820,6804,8826,6687
14598,-2637,-407,-10198,-224,-775,-77,-0.000488,-0.000305,-1.400621,-3.468750,1.386719,-0.976562,5100,29,315,-2265,8855,6799,8831,6687
14599,3882,-344,-18509,-114,-219,-181,-0.000549,-0.000549,-1.400922,-3.468750,1.386719,-0.976562,5100,3,143,-2248,8835,6801,8813,6678
14600,5149,-339,-13486,-205,218,-125,-0.000671,-0.000305,-1.401052,-3.468750,1.386719,-0.976562,5100,37,-3,-2235,8855,6798,8808,6668
14601,164,797,-2216,-310,91,26,-0.000916,-0.000061,-1.401052,-3.468750,1.386719,-0.976562,5100,77,32,-2234,8842,6792,8808,6693
14602,-76,-1259,-15094,-140,-204,-67,-0.001038,-0.000244,-1.401123,-3.468750,1.386719,-0.976562,5100,32,134,-2224,8865,6779,8810,6687
14603,-103,-1398,-14630,63,-65,-172,-0.000916,-0.000305,-1.401303,-3.468750,1.386719,-0.976562,5100,-30,87,-2203,8871,6778,8804,6677
14604,258,644,-5591,55,-63,-16,-0.000732,-0.000366,-1.401303,-3.468750,1.386719,-0.976562,5100,-35,90,-2196,8881,6789,8818,6672
14605,-932,1686,-8603,-200,-180,199,-0.000916,-0.000488,-1.401243,-3.468750,1.386719,-0.976562,5100,39,136,-2211,8866,6790,8781,6672
14606,555,-14,-18219,-242,229,96,-0.001099,-0.000305,-1.401233,-3.468750,1.386719,-0.976562,5100,55,-13,-2217,8884,6789,8801,6685
14607,-1276,-1307,-6652,-146,-104,-18,-0.001160,-0.000366,-1.401233,-3.468750,1.386719,-0.976562,5100,31,101,-2215,8898,6790,8805,6685
14608,-2479,-143,-3384,62,-418,92,-0.001038,-0.000732,-1.401123,-3.468750,1.386719,-0.976562,5100,-34,220,-2224,8879,6791,8775,6682
14609,2698,39,-16240,55,37,180,-0.000977,-0.000732,-1.400922,-3.468750,1.386719,-0.976562,5100,-38,65,-2243,8903,6793,8788,6678
14610,2282,-424,-13629,54,626,59,-0.000855,-0.000122,-1.400932,-3.468750,1.386719,-0.976562,5100,-46,-159,-2251,8905,6781,8770,6673
14611,-1680,-73,41,-3,150,9,-0.000794,0.000061,-1.400932,-3.468750,1.386719,-0.976562,5100,-35,-12,-2255,8894,6786,8780,6690
14612,-2398,-241,-10457,40,-593,-21,-0.000610,-0.000427,-1.400922,-3.468750,1.386719,-0.976562,5100,-53,254,-2256,8904,6793,8783,6688
14613,3795,-82,-20586,127,40,-58,-0.000427,-0.000488,-1.400922,-3.457031,1.406250,-0.937500,5100,-86,40,-2253,8900,6790,8775,6680
14614,2076,807,-5748,-120,355,-55,-0.000488,-0.000000,-1.401052,-3.457031,1.406250,-0.937500,5100,-12,-73,-2249,8882,6793,8791,6688
14615,-3080,558,-3630,-302,-139,-17,-0.000671,-0.000061,-1.401063,-3.457031,1.406250,-0.937500,5100,49,94,-2247,8885,6791,8799,6686
14616,-538,-749,-16653,-221,-369,-110,-0.000854,-0.000427,-1.401123,-3.457031,1.406250,-0.937500,5100,35,184,-2235,8880,6790,8775,6682
14617,1544,-514,-11690,-90,-41,-199,-0.000916,-0.000488,-1.401424,-3.457031,1.406250,-0.937500,5100,2,79,-2212,8887,6769,8809,6670
14618,642,1263,-3674,-136,-89,21,-0.000916,-0.000488,-1.401424,-3.457031,1.406250,-0.937500,5100,20,102,-2210,8871,6783,8808,6667
14619,369,-100,-13128,-202,146,172,-0.001099,-0.000305,-1.401303,-3.457031,1.406250,-0.937500,5100,44,14,-2223,8883,6784,8779,6664
14620,34,-1734,-13157,-59,292,6,-0.001160,-0.000061,-1.401303,-3.457031,1.406250,-0.937500,5100,2,-49,-2221,8869,6787,8793,6679
14621,-2794,-512,-3328,232,-162,-31,-0.000854,-0.000183,-1.401303,-3.457031,1.406250,-0.937500,5100,-93,105,-2216,8887,6762,8803,6676
14622,-1498,178,-4331,256,-399,138,-0.000549,-0.000610,-1.401283,-3.457031,1.406250,-0.937500,5100,-115,200,-2229,8888,6773,8776,6673
14623,1854,717,-16143,133,61,259,-0.000305,-0.000549,-1.401042,-3.457031,1.406250,-0.937500,5100,-91,45,-2255,8867,6781,8780,6670
14624,1800,-195,-13953,28,534,107,-0.000183,0.000061,-1.400932,-3.457031,1.406250,-0.937500,5100,-67,-134,-2269,8880,6784,8796,6669
14625,-1852,126,-543,-157,-172,55,-0.000305,-0.000000,-1.400932,-3.457031,1.406250,-0.937500,5100,-9,105,-2280,8868,6785,8791,6667
14626,-1869,-78,-10897,-85,-416,97,-0.000366,-0.000488,-1.400862,-3.457031,1.406250,-0.937500,5100,-26,199,-2295,8848,6786,8795,6685
14627,3168,-146,-19745,-139,193,26,-0.000427,-0.000366,-1.400862,-3.457031,1.406250,-0.937500,5100,-3,-9,-2303,8865,6767,8776,6653
14628,1171,409,-5383,-333,195,-19,-0.000671,-0.000061,-1.400872,-3.457031,1.406250,-0.937500,5100,66,-15,-2306,8851,6785,8793,6653
14629,-2942,-295,-2149,-335,-362,-57,-0.000916,-0.000305,-1.400872,-3.457031,1.406250,-0.937500,5100,80,183,-2304,8833,6786,8800,6680
14630,-179,-1205,-16435,-171,-380,-208,-0.001099,-0.000671,-1.401113,-3.457031,1.406250,-0.937500,5100,41,204,-2285,8866,6788,8817,6672
14631,1702,-385,-13965,-111,-20,-240,-0.001099,-0.000671,-1.401113,-3.468750,1.406250,-0.976562,5100,27,89,-2260,8863,6788,8822,6640
14632,794,1468,-2697,-246,-144,-10,-0.001221,-0.000793,-1.401113,-3.468750,1.406250,-0.976562,5100,72,139,-2255,8885,6786,8818,6646
14633,317,180,-10774,-259,151,34,-0.001404,-0.000671,-1.401113,-3.468750,1.406250,-0.976562,5100,81,29,-2254,8897,6766,8810,6673
14634,1114,-1534,-14265,-175,281,-83,-0.001587,-0.000305,-1.401123,-3.468750,1.406250,-0.976562,5100,61,-30,-2241,8914,6773,8791,6667
14635,-2140,92,-4675,68,81,-79,-0.001465,-0.000183,-1.401303,-3.468750,1.406250,-0.976562,5100,-15,26,-2229,8924,6750,8801,6667
14636,-312,866,-9439,18,-224,195,-0.001404,-0.000427,-1.401233,-3.468750,1.406250,-0.976562,5100,-8,133,-2244,8923,6761,8773,6667
14637,932,231,-17233,-95,72,207,-0.001404,-0.000427,-1.401052,-3.468750,1.406250,-0.976562,5100,20,30,-2262,8908,6744,8780,6666
14638,268,-373,-5927,-66,227,20,-0.001404,-0.000122,-1.401052,-3.468750,1.406250,-0.976562,5100,8,-29,-2265,8919,6758,8773,6668
14639,-2290,19,-1638,-96,-394,52,-0.001404,-0.000488,-1.400932,-3.468750,1.406250,-0.976562,5100,17,194,-2272,8924,6742,8787,6686
14640,1109,-334,-18558,67,-343,120,-0.001282,-0.000793,-1.400872,-3.468750,1.406250,-0.976562,5100,-37,190,-2287,8923,6754,8792,6682
14641,3141,-229,-14741,78,232,71,-0.001160,-0.000549,-1.400862,-3.468750,1.406250,-0.976562,5100,-47,-7,-2297,8920,6763,8798,6676
14642,-1102,70,783,-67,128,3,-0.001160,-0.000366,-1.400862,-3.468750,1.406250,-0.976562,5100,-7,22,-2301,8910,6755,8781,6671
14643,-2280,-524,-8760,-107,-453,-63,-0.001160,-0.000732,-1.400872,-3.468750,1.406250,-0.976562,5100,4,231,-2298,8906,6763,8799,6695
14644,-624,-429,-17840,-46,-377,-173,-0.001160,-0.001160,-1.401042,-3.468750,1.406250,-0.976562,5100,-13,221,-2283,8923,6768,8801,6686
14645,1786,58,-17470,-89,13,-188,-0.001160,-0.001160,-1.401233,-3.468750,1.406250,-0.976562,5100,1,94,-2263,8925,6753,8777,6666
14646,398,1263,-1967,-267,-72,-13,-0.001404,-0.001160,-1.401233,-3.468750,1.406250,-0.976562,5100,61,125,-2259,8926,6765,8786,6640
14647,339,-387,-7597,-242,-3,2,-0.001526,-0.001160,-1.401303,-3.468750,1.406250,-0.976562,5100,62,96,-2255,8899,6777,8775,6670
14648,784,-1739,-14037,-25,232,-126,-0.001587,-0.000916,-1.401424,-3.468750,1.429688,-0.949219,5100,0,3,-2238,8923,6779,8794,6647
14649,-1498,78,-5499,173,61,-40,-0.001282,-0.000793,-1.401434,-3.468750,1.429688,-0.949219,5100,-65,52,-2230,8932,6783,8797,6650
14650,218,846,-7885,101,-68,244,-0.001160,-0.000854,-1.401303,-3.468750,1.429688,-0.949219,5100,-52,92,-2249,8935,6774,8772,6652
14651,1540,-146,-16568,68,381,184,-0.000977,-0.000427,-1.401123,-3.468750,1.429688,-0.949219,5100,-52,-77,-2266,8931,6780,8784,6652
14652,322,-619,-7298,47,258,51,-0.000855,-0.000183,-1.401113,-3.468750,1.429688,-0.949219,5100,-51,-49,-2273,8930,6782,8780,6653
14653,-2442,422,-2833,57,-265,138,-0.000732,-0.000305,-1.401052,-3.468750,1.429688,-0.949219,5100,-58,132,-2290,8923,6784,8794,6681
14654,693,97,-17632,11,-100,158,-0.000671,-0.000427,-1.400872,-3.468750,1.429688,-0.949219,5100,-47,81,-2309,8900,6760,8798,6673
14655,984,-61,-14992,-78,61,17,-0.000671,-0.000427,-1.400872,-3.468750,1.429688,-0.949219,5100,-19,31,-2317,8900,6777,8815,6668
14656,-742,344,-1104,-146,-83,3,-0.000671,-0.000488,-1.400872,-3.468750,1.429688,-0.949219,5100,6,85,-2322,8875,6780,8799,6666
14657,199,-1100,-8477,-187,-305,10,-0.000855,-0.000671,-1.400862,-3.468750,1.429688,-0.949219,5100,26,173,-2328,8888,6779,8808,6667
14658,216,-527,-18026,-70,-139,-149,-0.000854,-0.000854,-1.400922,-3.468750,1.429688,-0.949219,5100,-3,126,-2316,8871,6771,8837,6664
14659,59,475,-7962,-27,-113,-147,-0.000854,-0.000916,-1.401113,-3.468750,1.429688,-0.949219,5100,-15,125,-2302,8895,6773,8831,6654
14660,861,553,-4155,-187,-203,43,-0.000977,-0.001099,-1.401113,-3.468750,1.429688,-0.949219,5100,37,164,-2305,8896,6775,8820,6631
14661,1810,-1012,-14719,-135,167,-14,-0.001038,-0.000977,-1.401113,-3.468750,1.429688,-0.949219,5100,25,32,-2302,8904,6759,8814,6639
14662,-1089,-732,-12019,43,292,-173,-0.000916,-0.000549,-1.401424,-3.468750,1.429688,-0.949219,5100,-28,-25,-2283,8897,6772,8816,6644
14663,-2329,1212,-4302,28,-90,-1,-0.000794,-0.000610,-1.401413,-3.468750,1.429688,-0.949219,5100,-27,100,-2280,8913,6771,8808,6644
14664,587,517,-12285,-141,-270,196,-0.000916,-0.000854,-1.401293,-3.468750,1.429688,-0.949219,5100,22,168,-2296,8916,6752,8795,6644
14665,1520,-595,-14581,-79,179,28,-0.000916,-0.000732,-1.401293,-3.468750,1.437500,-0.949219,5100,4,10,-2297,8923,6768,8798,6644
14666,-462,-287,-2883,-52,163,-29,-0.000916,-0.000549,-1.401303,-3.468750,1.437500,-0.949219,5100,-2,9,-2294,8924,6771,8804,6624
14667,-2064,63,-2117,-31,-169,73,-0.000855,-0.000610,-1.401243,-3.468750,1.437500,-0.949219,5100,-9,124,-2301,8921,6751,8805,6636
14668,-295,-183,-16213,36,-287,88,-0.000733,-0.000916,-1.401223,-3.468750,1.437500,-0.949219,5100,-33,175,-2310,8899,6766,8805,6644
14669,1594,-358,-16317,106,-53,3,-0.000610,-0.000916,-1.401223,-3.468750,1.437500,-0.949219,5100,-60,101,-2311,8917,6768,8821,6643
14670,1242,68,-1544,81,-68,23,-0.000427,-0.000977,-1.401223,-3.468750,1.437500,-0.949219,5100,-59,111,-2315,8921,6773,8808,6647
14671,364,-961,-7020,117,-145,2,-0.000244,-0.001099,-1.401223,-3.468750,1.437500,-0.949219,5100,-78,141,-2316,8920,6767,8808,6650
14672,-147,-119,-18430,170,-39,-142,0.000000,-0.001099,-1.401293,-3.468750,1.437500,-0.949219,5100,-102,106,-2303,8926,6769,8810,6649
14673,-893,1239,-7542,8,-202,-85,0.000061,-0.001221,-1.401413,-3.468750,1.437500,-0.949219,5100,-58,168,-2293,8930,6776,8811,6621
14674,1008,702,-3669,-163,-146,43,0.000000,-0.001404,-1.401413,-3.468750,1.437500,-0.949219,5100,-3,154,-2295,8913,6786,8820,6625
14675,2413,-961,-14779,-144,412,-52,-0.000183,-0.001038,-1.401474,-3.468750,1.437500,-0.949219,5100,-1,-52,-2288,8915,6790,8795,6628
14676,-1281,-854,-11954,-18,321,-122,0.000000,-0.000610,-1.401604,-3.468750,1.437500,-0.949219,5100,-35,-41,-2273,8924,6792,8836,6616
